2020-10-03 10:05:19,865: Called train.py with args:
Namespace(adversarial_dir='adversarial', attack_name='fgsm', batch_size=50, data_path='data\\\\mnist.pkl', epoch=120, first_n_samples=None, lam=1.0, learning_rate=0.001, method=1, model_name='lenet_standard', momentum=0.8, new_model_name='', paired_data_path='', patience=5, reg_layers=1, reg_object=0, save_dir='models', test_data_only=False, test_only_data_path='', use_dropout=0, use_reg_model=False)
2020-10-03 10:05:19,866: Loading standard dataset
2020-10-03 10:05:20,060: Using device: cuda:0
2020-10-03 10:06:14,086: Epoch 10, total train loss: 100.71919250488281
2020-10-03 10:06:14,087: Epoch 10, train accuracy: 0.960925
2020-10-03 10:06:14,441: Best model at epoch 10, model saved.
2020-10-03 10:06:14,443: Epoch 10, total dev loss: 24.768098831176758
2020-10-03 10:06:14,443: Epoch 10, dev accuracy : 0.9651
2020-10-03 10:06:16,999: Epoch 11, total train loss: 91.45553588867188
2020-10-03 10:06:17,000: Epoch 11, train accuracy: 0.9644
2020-10-03 10:06:17,355: Best model at epoch 11, model saved.
2020-10-03 10:06:17,357: Epoch 11, total dev loss: 23.52243423461914
2020-10-03 10:06:17,357: Epoch 11, dev accuracy : 0.9669
2020-10-03 10:06:19,812: Epoch 12, total train loss: 83.99150848388672
2020-10-03 10:06:19,812: Epoch 12, train accuracy: 0.967275
2020-10-03 10:06:20,143: Best model at epoch 12, model saved.
2020-10-03 10:06:20,146: Epoch 12, total dev loss: 22.516048431396484
2020-10-03 10:06:20,147: Epoch 12, dev accuracy : 0.9679
2020-10-03 10:06:22,534: Epoch 13, total train loss: 77.93766784667969
2020-10-03 10:06:22,534: Epoch 13, train accuracy: 0.969525
2020-10-03 10:06:22,886: Best model at epoch 13, model saved.
2020-10-03 10:06:22,888: Epoch 13, total dev loss: 21.65654754638672
2020-10-03 10:06:22,888: Epoch 13, dev accuracy : 0.9692
2020-10-03 10:06:25,285: Epoch 14, total train loss: 72.7995834350586
2020-10-03 10:06:25,285: Epoch 14, train accuracy: 0.97165
2020-10-03 10:06:25,637: Best model at epoch 14, model saved.
2020-10-03 10:06:25,639: Epoch 14, total dev loss: 20.976215362548828
2020-10-03 10:06:25,639: Epoch 14, dev accuracy : 0.9699
2020-10-03 10:06:28,072: Epoch 15, total train loss: 68.55701446533203
2020-10-03 10:06:28,073: Epoch 15, train accuracy: 0.97325
2020-10-03 10:06:28,440: Best model at epoch 15, model saved.
2020-10-03 10:06:28,442: Epoch 15, total dev loss: 20.241600036621094
2020-10-03 10:06:28,442: Epoch 15, dev accuracy : 0.971
2020-10-03 10:06:30,901: Epoch 16, total train loss: 64.88017272949219
2020-10-03 10:06:30,901: Epoch 16, train accuracy: 0.974475
2020-10-03 10:06:31,262: Best model at epoch 16, model saved.
2020-10-03 10:06:31,264: Epoch 16, total dev loss: 19.6826171875
2020-10-03 10:06:31,264: Epoch 16, dev accuracy : 0.9719
2020-10-03 10:06:33,817: Epoch 17, total train loss: 61.58587646484375
2020-10-03 10:06:33,817: Epoch 17, train accuracy: 0.97545
2020-10-03 10:06:34,173: Best model at epoch 17, model saved.
2020-10-03 10:06:34,175: Epoch 17, total dev loss: 19.032482147216797
2020-10-03 10:06:34,175: Epoch 17, dev accuracy : 0.973
2020-10-03 10:06:36,763: Epoch 18, total train loss: 58.762451171875
2020-10-03 10:06:36,763: Epoch 18, train accuracy: 0.97665
2020-10-03 10:06:37,107: Best model at epoch 18, model saved.
2020-10-03 10:06:37,109: Epoch 18, total dev loss: 18.483646392822266
2020-10-03 10:06:37,109: Epoch 18, dev accuracy : 0.9732
2020-10-03 10:06:39,567: Epoch 19, total train loss: 56.197853088378906
2020-10-03 10:06:39,567: Epoch 19, train accuracy: 0.977775
2020-10-03 10:06:39,928: Best model at epoch 19, model saved.
2020-10-03 10:06:39,930: Epoch 19, total dev loss: 18.057912826538086
2020-10-03 10:06:39,930: Epoch 19, dev accuracy : 0.9734
2020-10-03 10:06:42,393: Epoch 20, total train loss: 53.84812927246094
2020-10-03 10:06:42,393: Epoch 20, train accuracy: 0.978825
2020-10-03 10:06:42,730: Best model at epoch 20, model saved.
2020-10-03 10:06:42,732: Epoch 20, total dev loss: 17.7808780670166
2020-10-03 10:06:42,732: Epoch 20, dev accuracy : 0.9741
2020-10-03 10:06:45,209: Epoch 21, total train loss: 51.757835388183594
2020-10-03 10:06:45,209: Epoch 21, train accuracy: 0.979725
2020-10-03 10:06:45,567: Best model at epoch 21, model saved.
2020-10-03 10:06:45,569: Epoch 21, total dev loss: 17.50566864013672
2020-10-03 10:06:45,570: Epoch 21, dev accuracy : 0.975
2020-10-03 10:06:47,972: Epoch 22, total train loss: 49.8405647277832
2020-10-03 10:06:47,972: Epoch 22, train accuracy: 0.98045
2020-10-03 10:06:48,330: Best model at epoch 22, model saved.
2020-10-03 10:06:48,332: Epoch 22, total dev loss: 17.295923233032227
2020-10-03 10:06:48,332: Epoch 22, dev accuracy : 0.9749
2020-10-03 10:06:50,730: Epoch 23, total train loss: 48.04188919067383
2020-10-03 10:06:50,730: Epoch 23, train accuracy: 0.9811
2020-10-03 10:06:51,061: Best model at epoch 23, model saved.
2020-10-03 10:06:51,063: Epoch 23, total dev loss: 17.090803146362305
2020-10-03 10:06:51,063: Epoch 23, dev accuracy : 0.9756
2020-10-03 10:06:53,448: Epoch 24, total train loss: 46.37655258178711
2020-10-03 10:06:53,448: Epoch 24, train accuracy: 0.98165
2020-10-03 10:06:53,783: Best model at epoch 24, model saved.
2020-10-03 10:06:53,785: Epoch 24, total dev loss: 16.851945877075195
2020-10-03 10:06:53,785: Epoch 24, dev accuracy : 0.9763
2020-10-03 10:06:56,185: Epoch 25, total train loss: 44.79087829589844
2020-10-03 10:06:56,185: Epoch 25, train accuracy: 0.982375
2020-10-03 10:06:56,515: Best model at epoch 25, model saved.
2020-10-03 10:06:56,517: Epoch 25, total dev loss: 16.67347526550293
2020-10-03 10:06:56,517: Epoch 25, dev accuracy : 0.9765
2020-10-03 10:06:58,920: Epoch 26, total train loss: 43.331886291503906
2020-10-03 10:06:58,920: Epoch 26, train accuracy: 0.9832
2020-10-03 10:06:59,252: Best model at epoch 26, model saved.
2020-10-03 10:06:59,254: Epoch 26, total dev loss: 16.5399227142334
2020-10-03 10:06:59,254: Epoch 26, dev accuracy : 0.9765
2020-10-03 10:07:01,652: Epoch 27, total train loss: 41.91461181640625
2020-10-03 10:07:01,653: Epoch 27, train accuracy: 0.98375
2020-10-03 10:07:02,008: Best model at epoch 27, model saved.
2020-10-03 10:07:02,010: Epoch 27, total dev loss: 16.467824935913086
2020-10-03 10:07:02,011: Epoch 27, dev accuracy : 0.9765
2020-10-03 10:07:04,428: Epoch 28, total train loss: 40.58299255371094
2020-10-03 10:07:04,428: Epoch 28, train accuracy: 0.98425
2020-10-03 10:07:04,755: Best model at epoch 28, model saved.
2020-10-03 10:07:04,757: Epoch 28, total dev loss: 16.212276458740234
2020-10-03 10:07:04,758: Epoch 28, dev accuracy : 0.9771
2020-10-03 10:07:07,160: Epoch 29, total train loss: 39.31379699707031
2020-10-03 10:07:07,160: Epoch 29, train accuracy: 0.984825
2020-10-03 10:07:07,518: Best model at epoch 29, model saved.
2020-10-03 10:07:07,520: Epoch 29, total dev loss: 16.04644203186035
2020-10-03 10:07:07,520: Epoch 29, dev accuracy : 0.9772
2020-10-03 10:07:09,946: Epoch 30, total train loss: 38.12462615966797
2020-10-03 10:07:09,946: Epoch 30, train accuracy: 0.985375
2020-10-03 10:07:10,271: Epoch 30, total dev loss: 16.049640655517578
2020-10-03 10:07:10,271: Epoch 30, dev accuracy : 0.977
2020-10-03 10:07:12,721: Epoch 31, total train loss: 37.01596450805664
2020-10-03 10:07:12,721: Epoch 31, train accuracy: 0.98575
2020-10-03 10:07:13,132: Best model at epoch 31, model saved.
2020-10-03 10:07:13,134: Epoch 31, total dev loss: 15.97201919555664
2020-10-03 10:07:13,134: Epoch 31, dev accuracy : 0.9771
2020-10-03 10:07:15,633: Epoch 32, total train loss: 35.92689895629883
2020-10-03 10:07:15,633: Epoch 32, train accuracy: 0.986075
2020-10-03 10:07:16,115: Best model at epoch 32, model saved.
2020-10-03 10:07:16,117: Epoch 32, total dev loss: 15.886502265930176
2020-10-03 10:07:16,117: Epoch 32, dev accuracy : 0.9774
2020-10-03 10:07:18,785: Epoch 33, total train loss: 34.879695892333984
2020-10-03 10:07:18,785: Epoch 33, train accuracy: 0.986425
2020-10-03 10:07:19,131: Epoch 33, total dev loss: 15.913361549377441
2020-10-03 10:07:19,132: Epoch 33, dev accuracy : 0.9774
2020-10-03 10:07:21,588: Epoch 34, total train loss: 33.896785736083984
2020-10-03 10:07:21,588: Epoch 34, train accuracy: 0.98675
2020-10-03 10:07:21,917: Epoch 34, total dev loss: 15.892935752868652
2020-10-03 10:07:21,917: Epoch 34, dev accuracy : 0.9774
2020-10-03 10:07:24,298: Epoch 35, total train loss: 32.96946334838867
2020-10-03 10:07:24,298: Epoch 35, train accuracy: 0.98705
2020-10-03 10:07:24,628: Best model at epoch 35, model saved.
2020-10-03 10:07:24,630: Epoch 35, total dev loss: 15.792444229125977
2020-10-03 10:07:24,630: Epoch 35, dev accuracy : 0.977
2020-10-03 10:07:26,982: Epoch 36, total train loss: 32.0736083984375
2020-10-03 10:07:26,982: Epoch 36, train accuracy: 0.987725
2020-10-03 10:07:27,319: Best model at epoch 36, model saved.
2020-10-03 10:07:27,320: Epoch 36, total dev loss: 15.730034828186035
2020-10-03 10:07:27,321: Epoch 36, dev accuracy : 0.9773
2020-10-03 10:07:29,675: Epoch 37, total train loss: 31.196916580200195
2020-10-03 10:07:29,675: Epoch 37, train accuracy: 0.988125
2020-10-03 10:07:30,018: Best model at epoch 37, model saved.
2020-10-03 10:07:30,021: Epoch 37, total dev loss: 15.72137451171875
2020-10-03 10:07:30,021: Epoch 37, dev accuracy : 0.9774
2020-10-03 10:07:32,482: Epoch 38, total train loss: 30.312606811523438
2020-10-03 10:07:32,483: Epoch 38, train accuracy: 0.98865
2020-10-03 10:07:32,825: Best model at epoch 38, model saved.
2020-10-03 10:07:32,827: Epoch 38, total dev loss: 15.69229793548584
2020-10-03 10:07:32,827: Epoch 38, dev accuracy : 0.9776
2020-10-03 10:07:35,232: Epoch 39, total train loss: 29.51176643371582
2020-10-03 10:07:35,233: Epoch 39, train accuracy: 0.98905
2020-10-03 10:07:35,591: Best model at epoch 39, model saved.
2020-10-03 10:07:35,593: Epoch 39, total dev loss: 15.624218940734863
2020-10-03 10:07:35,593: Epoch 39, dev accuracy : 0.9781
2020-10-03 10:07:37,976: Epoch 40, total train loss: 28.718128204345703
2020-10-03 10:07:37,976: Epoch 40, train accuracy: 0.98935
2020-10-03 10:07:38,331: Best model at epoch 40, model saved.
2020-10-03 10:07:38,333: Epoch 40, total dev loss: 15.620736122131348
2020-10-03 10:07:38,333: Epoch 40, dev accuracy : 0.9778
2020-10-03 10:07:40,750: Epoch 41, total train loss: 27.980180740356445
2020-10-03 10:07:40,751: Epoch 41, train accuracy: 0.9896
2020-10-03 10:07:41,105: Epoch 41, total dev loss: 15.640451431274414
2020-10-03 10:07:41,106: Epoch 41, dev accuracy : 0.977
2020-10-03 10:07:43,478: Epoch 42, total train loss: 27.213590621948242
2020-10-03 10:07:43,478: Epoch 42, train accuracy: 0.98995
2020-10-03 10:07:43,808: Best model at epoch 42, model saved.
2020-10-03 10:07:43,811: Epoch 42, total dev loss: 15.550371170043945
2020-10-03 10:07:43,811: Epoch 42, dev accuracy : 0.9775
2020-10-03 10:07:46,419: Epoch 43, total train loss: 26.50616455078125
2020-10-03 10:07:46,419: Epoch 43, train accuracy: 0.990175
2020-10-03 10:07:46,755: Best model at epoch 43, model saved.
2020-10-03 10:07:46,757: Epoch 43, total dev loss: 15.481782913208008
2020-10-03 10:07:46,757: Epoch 43, dev accuracy : 0.9775
2020-10-03 10:07:49,203: Epoch 44, total train loss: 25.842954635620117
2020-10-03 10:07:49,203: Epoch 44, train accuracy: 0.990275
2020-10-03 10:07:49,531: Best model at epoch 44, model saved.
2020-10-03 10:07:49,533: Epoch 44, total dev loss: 15.448173522949219
2020-10-03 10:07:49,533: Epoch 44, dev accuracy : 0.9775
2020-10-03 10:07:51,970: Epoch 45, total train loss: 25.153127670288086
2020-10-03 10:07:51,970: Epoch 45, train accuracy: 0.990725
2020-10-03 10:07:52,322: Best model at epoch 45, model saved.
2020-10-03 10:07:52,323: Epoch 45, total dev loss: 15.330808639526367
2020-10-03 10:07:52,323: Epoch 45, dev accuracy : 0.9777
2020-10-03 10:07:54,798: Epoch 46, total train loss: 24.53588104248047
2020-10-03 10:07:54,798: Epoch 46, train accuracy: 0.99105
2020-10-03 10:07:55,155: Best model at epoch 46, model saved.
2020-10-03 10:07:55,157: Epoch 46, total dev loss: 15.241903305053711
2020-10-03 10:07:55,157: Epoch 46, dev accuracy : 0.978
2020-10-03 10:07:57,773: Epoch 47, total train loss: 23.926729202270508
2020-10-03 10:07:57,773: Epoch 47, train accuracy: 0.991225
2020-10-03 10:07:58,133: Epoch 47, total dev loss: 15.246448516845703
2020-10-03 10:07:58,134: Epoch 47, dev accuracy : 0.9782
2020-10-03 10:08:00,621: Epoch 48, total train loss: 23.34113883972168
2020-10-03 10:08:00,621: Epoch 48, train accuracy: 0.9915
2020-10-03 10:08:00,998: Best model at epoch 48, model saved.
2020-10-03 10:08:01,000: Epoch 48, total dev loss: 15.160906791687012
2020-10-03 10:08:01,000: Epoch 48, dev accuracy : 0.9784
2020-10-03 10:08:03,579: Epoch 49, total train loss: 22.730892181396484
2020-10-03 10:08:03,579: Epoch 49, train accuracy: 0.99165
2020-10-03 10:08:03,911: Best model at epoch 49, model saved.
2020-10-03 10:08:03,913: Epoch 49, total dev loss: 15.079435348510742
2020-10-03 10:08:03,914: Epoch 49, dev accuracy : 0.9785
2020-10-03 10:08:06,376: Epoch 50, total train loss: 22.164995193481445
2020-10-03 10:08:06,376: Epoch 50, train accuracy: 0.991825
2020-10-03 10:08:06,703: Best model at epoch 50, model saved.
2020-10-03 10:08:06,705: Epoch 50, total dev loss: 15.007585525512695
2020-10-03 10:08:06,705: Epoch 50, dev accuracy : 0.9783
2020-10-03 10:08:09,139: Epoch 51, total train loss: 21.574007034301758
2020-10-03 10:08:09,139: Epoch 51, train accuracy: 0.992025
2020-10-03 10:08:09,468: Best model at epoch 51, model saved.
2020-10-03 10:08:09,470: Epoch 51, total dev loss: 15.001480102539062
2020-10-03 10:08:09,470: Epoch 51, dev accuracy : 0.9783
2020-10-03 10:08:11,893: Epoch 52, total train loss: 21.079933166503906
2020-10-03 10:08:11,893: Epoch 52, train accuracy: 0.99245
2020-10-03 10:08:12,252: Best model at epoch 52, model saved.
2020-10-03 10:08:12,254: Epoch 52, total dev loss: 14.894567489624023
2020-10-03 10:08:12,254: Epoch 52, dev accuracy : 0.9788
2020-10-03 10:08:14,654: Epoch 53, total train loss: 20.54814910888672
2020-10-03 10:08:14,655: Epoch 53, train accuracy: 0.9926
2020-10-03 10:08:15,013: Epoch 53, total dev loss: 14.957948684692383
2020-10-03 10:08:15,013: Epoch 53, dev accuracy : 0.9786
2020-10-03 10:08:17,449: Epoch 54, total train loss: 20.04704475402832
2020-10-03 10:08:17,450: Epoch 54, train accuracy: 0.99275
2020-10-03 10:08:17,779: Epoch 54, total dev loss: 15.041999816894531
2020-10-03 10:08:17,780: Epoch 54, dev accuracy : 0.9785
2020-10-03 10:08:20,204: Epoch 55, total train loss: 19.535390853881836
2020-10-03 10:08:20,205: Epoch 55, train accuracy: 0.99315
2020-10-03 10:08:20,564: Epoch 55, total dev loss: 14.994148254394531
2020-10-03 10:08:20,564: Epoch 55, dev accuracy : 0.9784
2020-10-03 10:08:22,977: Epoch 56, total train loss: 18.98821449279785
2020-10-03 10:08:22,977: Epoch 56, train accuracy: 0.993325
2020-10-03 10:08:23,304: Epoch 56, total dev loss: 14.984816551208496
2020-10-03 10:08:23,304: Epoch 56, dev accuracy : 0.9787
2020-10-03 10:08:25,746: Epoch 57, total train loss: 18.49332618713379
2020-10-03 10:08:25,746: Epoch 57, train accuracy: 0.993425
2020-10-03 10:08:26,102: Best model at epoch 57, model saved.
2020-10-03 10:08:26,104: Epoch 57, total dev loss: 14.866997718811035
2020-10-03 10:08:26,104: Epoch 57, dev accuracy : 0.9791
2020-10-03 10:08:28,499: Epoch 58, total train loss: 18.01885223388672
2020-10-03 10:08:28,499: Epoch 58, train accuracy: 0.993675
2020-10-03 10:08:28,859: Epoch 58, total dev loss: 14.867975234985352
2020-10-03 10:08:28,860: Epoch 58, dev accuracy : 0.9789
2020-10-03 10:08:31,322: Epoch 59, total train loss: 17.5727481842041
2020-10-03 10:08:31,322: Epoch 59, train accuracy: 0.99375
2020-10-03 10:08:31,652: Best model at epoch 59, model saved.
2020-10-03 10:08:31,654: Epoch 59, total dev loss: 14.86190128326416
2020-10-03 10:08:31,655: Epoch 59, dev accuracy : 0.9791
2020-10-03 10:08:34,094: Epoch 60, total train loss: 17.063020706176758
2020-10-03 10:08:34,094: Epoch 60, train accuracy: 0.99395
2020-10-03 10:08:34,424: Epoch 60, total dev loss: 14.880027770996094
2020-10-03 10:08:34,424: Epoch 60, dev accuracy : 0.9793
2020-10-03 10:08:36,882: Epoch 61, total train loss: 16.6478328704834
2020-10-03 10:08:36,882: Epoch 61, train accuracy: 0.994175
2020-10-03 10:08:37,209: Epoch 61, total dev loss: 14.944954872131348
2020-10-03 10:08:37,210: Epoch 61, dev accuracy : 0.9794
2020-10-03 10:08:39,663: Epoch 62, total train loss: 16.15120506286621
2020-10-03 10:08:39,663: Epoch 62, train accuracy: 0.9944
2020-10-03 10:08:39,993: Epoch 62, total dev loss: 14.880505561828613
2020-10-03 10:08:39,993: Epoch 62, dev accuracy : 0.9799
2020-10-03 10:08:42,471: Epoch 63, total train loss: 15.75829792022705
2020-10-03 10:08:42,471: Epoch 63, train accuracy: 0.994575
2020-10-03 10:08:42,800: Epoch 63, total dev loss: 14.94592571258545
2020-10-03 10:08:42,800: Epoch 63, dev accuracy : 0.9801
2020-10-03 10:08:45,266: Epoch 64, total train loss: 15.306952476501465
2020-10-03 10:08:45,266: Epoch 64, train accuracy: 0.9947
2020-10-03 10:08:45,619: Epoch 64, total dev loss: 14.888885498046875
2020-10-03 10:08:45,619: Epoch 64, dev accuracy : 0.9801
2020-10-03 10:08:48,039: Epoch 65, total train loss: 14.881545066833496
2020-10-03 10:08:48,039: Epoch 65, train accuracy: 0.995075
2020-10-03 10:08:48,391: Early stopped
2020-10-03 10:08:48,392: Done
